v4_2,CV,CI+/-,calendar-years,Time,uk-only,Geography,age-groups,AgeGroups,sex,Sex,sexual-orientation,SexualOrientation,unit-of-measure,UnitOfMeasure
0.5,c,0.1,2016,2016,K02000001,United Kingdom,35-49,35-49,male,Male,other,Other,percentage,Percentage
96.3,a,0.3,2016,2016,K02000001,United Kingdom,50-64,50-64,female,Female,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
0.2,c,0.1,2016,2016,K02000001,United Kingdom,65+,65+,female,Female,gay-or-lesbian,Gay or lesbian,percentage,Percentage
1,c,0.4,2016,2016,K02000001,United Kingdom,16-24,16-24,female,Female,other,Other,percentage,Percentage
0.5,c,0.1,2016,2016,K02000001,United Kingdom,35-49,35-49,female,Female,other,Other,percentage,Percentage
3.2,c,0.7,2016,2016,K02000001,United Kingdom,16-24,16-24,female,Female,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
21,c,6,2016,2016,K02000001,United Kingdom,50-64,50-64,male,Male,bisexual,Bisexual,number,Number
34,c,8,2016,2016,K02000001,United Kingdom,35-49,35-49,male,Male,other,Other,number,Number
29,c,7,2016,2016,K02000001,United Kingdom,50-64,50-64,male,Male,other,Other,number,Number
109,c,25,2016,2016,K02000001,United Kingdom,16-24,16-24,male,Male,dont-know-or-refuse,Don't know or refuse,number,Number
101,c,27,2016,2016,K02000001,United Kingdom,16-24,16-24,female,Female,bisexual,Bisexual,number,Number
53,c,11,2016,2016,K02000001,United Kingdom,25-34,25-34,female,Female,bisexual,Bisexual,number,Number
26,c,7,2016,2016,K02000001,United Kingdom,50-64,50-64,female,Female,other,Other,number,Number
29,c,7,2016,2016,K02000001,United Kingdom,65+,65+,female,Female,other,Other,number,Number
92,a,1.2,2016,2016,K02000001,United Kingdom,16-24,16-24,male,Male,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
2.8,b,0.5,2016,2016,K02000001,United Kingdom,25-34,25-34,male,Male,gay-or-lesbian,Gay or lesbian,percentage,Percentage
0.6,c,0.1,2016,2016,K02000001,United Kingdom,35-49,35-49,female,Female,bisexual,Bisexual,percentage,Percentage
0.6,c,0.2,2016,2016,K02000001,United Kingdom,25-34,25-34,male,Male,bisexual,Bisexual,percentage,Percentage
0.4,c,0.1,2016,2016,K02000001,United Kingdom,35-49,35-49,male,Male,bisexual,Bisexual,percentage,Percentage
91.9,a,1.1,2016,2016,K02000001,United Kingdom,16-24,16-24,female,Female,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
5053,a,17,2016,2016,K02000001,United Kingdom,65+,65+,male,Male,heterosexual-or-straight,Heterosexual or straight,number,Number
76,c,28,2016,2016,K02000001,United Kingdom,16-24,16-24,male,Male,bisexual,Bisexual,number,Number
27,c,6,2016,2016,K02000001,United Kingdom,50-64,50-64,female,Female,bisexual,Bisexual,number,Number
145,b,17,2016,2016,K02000001,United Kingdom,35-49,35-49,male,Male,dont-know-or-refuse,Don't know or refuse,number,Number
138,b,15,2016,2016,K02000001,United Kingdom,50-64,50-64,male,Male,dont-know-or-refuse,Don't know or refuse,number,Number
85,c,21,2016,2016,K02000001,United Kingdom,16-24,16-24,male,Male,gay-or-lesbian,Gay or lesbian,number,Number
117,b,17,2016,2016,K02000001,United Kingdom,35-49,35-49,male,Male,gay-or-lesbian,Gay or lesbian,number,Number
26,c,7,2016,2016,K02000001,United Kingdom,35-49,35-49,male,Male,bisexual,Bisexual,number,Number
5963,a,45,2016,2016,K02000001,United Kingdom,50-64,50-64,female,Female,heterosexual-or-straight,Heterosexual or straight,number,Number
5909,a,20,2016,2016,K02000001,United Kingdom,65+,65+,female,Female,heterosexual-or-straight,Heterosexual or straight,number,Number
6237,a,47,2016,2016,K02000001,United Kingdom,35-49,35-49,female,Female,heterosexual-or-straight,Heterosexual or straight,number,Number
111,c,24,2016,2016,K02000001,United Kingdom,16-24,16-24,female,Female,dont-know-or-refuse,Don't know or refuse,number,Number
38,c,14,2016,2016,K02000001,United Kingdom,16-24,16-24,female,Female,gay-or-lesbian,Gay or lesbian,number,Number
30,c,7,2016,2016,K02000001,United Kingdom,65+,65+,male,Male,gay-or-lesbian,Gay or lesbian,number,Number
22,d,10,2016,2016,K02000001,United Kingdom,16-24,16-24,male,Male,other,Other,number,Number
98,b,17,2016,2016,K02000001,United Kingdom,25-34,25-34,male,Male,dont-know-or-refuse,Don't know or refuse,number,Number
39,c,8,2016,2016,K02000001,United Kingdom,35-49,35-49,female,Female,bisexual,Bisexual,number,Number
142,b,15,2016,2016,K02000001,United Kingdom,50-64,50-64,female,Female,dont-know-or-refuse,Don't know or refuse,number,Number
0.5,c,0.1,2016,2016,K02000001,United Kingdom,65+,65+,male,Male,other,Other,percentage,Percentage
2.3,b,0.3,2016,2016,K02000001,United Kingdom,50-64,50-64,male,Male,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
95.8,a,0.3,2016,2016,K02000001,United Kingdom,35-49,35-49,female,Female,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
0.4,c,0.1,2016,2016,K02000001,United Kingdom,25-34,25-34,female,Female,other,Other,percentage,Percentage
2.3,b,0.2,2016,2016,K02000001,United Kingdom,35-49,35-49,female,Female,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
5987,a,52,2016,2016,K02000001,United Kingdom,35-49,35-49,male,Male,heterosexual-or-straight,Heterosexual or straight,number,Number
28,c,6,2016,2016,K02000001,United Kingdom,65+,65+,male,Male,other,Other,number,Number
57,c,12,2016,2016,K02000001,United Kingdom,25-34,25-34,female,Female,gay-or-lesbian,Gay or lesbian,number,Number
20,c,5,2016,2016,K02000001,United Kingdom,65+,65+,female,Female,bisexual,Bisexual,number,Number
3241,a,40,2016,2016,K02000001,United Kingdom,16-24,16-24,female,Female,heterosexual-or-straight,Heterosexual or straight,number,Number
57,b,10,2016,2016,K02000001,United Kingdom,35-49,35-49,female,Female,gay-or-lesbian,Gay or lesbian,number,Number
12,c,4,2016,2016,K02000001,United Kingdom,65+,65+,female,Female,gay-or-lesbian,Gay or lesbian,number,Number
147,b,15,2016,2016,K02000001,United Kingdom,35-49,35-49,female,Female,dont-know-or-refuse,Don't know or refuse,number,Number
205,a,17,2016,2016,K02000001,United Kingdom,65+,65+,female,Female,dont-know-or-refuse,Don't know or refuse,number,Number
97,b,14,2016,2016,K02000001,United Kingdom,25-34,25-34,female,Female,dont-know-or-refuse,Don't know or refuse,number,Number
26,c,10,2016,2016,K02000001,United Kingdom,25-34,25-34,male,Male,bisexual,Bisexual,number,Number
13,c,4,2016,2016,K02000001,United Kingdom,65+,65+,male,Male,bisexual,Bisexual,number,Number
113,b,12,2016,2016,K02000001,United Kingdom,65+,65+,male,Male,dont-know-or-refuse,Don't know or refuse,number,Number
34,c,13,2016,2016,K02000001,United Kingdom,16-24,16-24,female,Female,other,Other,number,Number
18,c,6,2016,2016,K02000001,United Kingdom,25-34,25-34,female,Female,other,Other,number,Number
1.8,b,0.3,2016,2016,K02000001,United Kingdom,35-49,35-49,male,Male,gay-or-lesbian,Gay or lesbian,percentage,Percentage
3,c,0.7,2016,2016,K02000001,United Kingdom,16-24,16-24,male,Male,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
0.4,c,0.1,2016,2016,K02000001,United Kingdom,50-64,50-64,female,Female,bisexual,Bisexual,percentage,Percentage
0.3,c,0.1,2016,2016,K02000001,United Kingdom,65+,65+,female,Female,bisexual,Bisexual,percentage,Percentage
1.4,b,0.2,2016,2016,K02000001,United Kingdom,50-64,50-64,male,Male,gay-or-lesbian,Gay or lesbian,percentage,Percentage
0.3,c,0.1,2016,2016,K02000001,United Kingdom,65+,65+,male,Male,bisexual,Bisexual,percentage,Percentage
0.5,c,0.2,2016,2016,K02000001,United Kingdom,25-34,25-34,male,Male,other,Other,percentage,Percentage
2.2,b,0.4,2016,2016,K02000001,United Kingdom,25-34,25-34,male,Male,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
2.2,b,0.2,2016,2016,K02000001,United Kingdom,65+,65+,male,Male,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
94.9,a,0.4,2016,2016,K02000001,United Kingdom,35-49,35-49,male,Male,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
1.2,c,0.3,2016,2016,K02000001,United Kingdom,25-34,25-34,female,Female,bisexual,Bisexual,percentage,Percentage
3372,a,43,2016,2016,K02000001,United Kingdom,16-24,16-24,male,Male,heterosexual-or-straight,Heterosexual or straight,number,Number
5747,a,50,2016,2016,K02000001,United Kingdom,50-64,50-64,male,Male,heterosexual-or-straight,Heterosexual or straight,number,Number
22,c,8,2016,2016,K02000001,United Kingdom,25-34,25-34,male,Male,other,Other,number,Number
86,b,13,2016,2016,K02000001,United Kingdom,50-64,50-64,male,Male,gay-or-lesbian,Gay or lesbian,number,Number
4200,a,22,2016,2016,K02000001,United Kingdom,25-34,25-34,female,Female,heterosexual-or-straight,Heterosexual or straight,number,Number
31,c,7,2016,2016,K02000001,United Kingdom,35-49,35-49,female,Female,other,Other,number,Number
141,b,22,2019,2019,K02000001,United Kingdom,25-34,25-34,male,Male,dont-know-or-refuse,Don't know or refuse,number,Number
31,c,8,2019,2019,K02000001,United Kingdom,65+,65+,female,Female,gay-or-lesbian,Gay or lesbian,number,Number
76,b,13,2019,2019,K02000001,United Kingdom,25-34,25-34,female,Female,bisexual,Bisexual,number,Number
94.2,a,0.4,2019,2019,K02000001,United Kingdom,50-64,50-64,male,Male,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
2.6,c,0.8,2019,2019,K02000001,United Kingdom,16-24,16-24,male,Male,bisexual,Bisexual,percentage,Percentage
0.9,d,0.4,2019,2019,K02000001,United Kingdom,16-24,16-24,male,Male,other,Other,percentage,Percentage
3,b,0.4,2019,2019,K02000001,United Kingdom,35-49,35-49,male,Male,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
3.3,c,0.9,2019,2019,K02000001,United Kingdom,16-24,16-24,male,Male,gay-or-lesbian,Gay or lesbian,percentage,Percentage
0.9,c,0.2,2019,2019,K02000001,United Kingdom,25-34,25-34,male,Male,bisexual,Bisexual,percentage,Percentage
5.5,b,0.9,2019,2019,K02000001,United Kingdom,16-24,16-24,female,Female,bisexual,Bisexual,percentage,Percentage
1.9,c,0.6,2019,2019,K02000001,United Kingdom,16-24,16-24,female,Female,gay-or-lesbian,Gay or lesbian,percentage,Percentage
3.2,b,0.3,2019,2019,K02000001,United Kingdom,50-64,50-64,male,Male,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
0.7,c,0.2,2019,2019,K02000001,United Kingdom,35-49,35-49,male,Male,other,Other,percentage,Percentage
0.6,c,0.1,2019,2019,K02000001,United Kingdom,65+,65+,male,Male,other,Other,percentage,Percentage
95,a,0.4,2019,2019,K02000001,United Kingdom,50-64,50-64,female,Female,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
0.5,c,0.1,2019,2019,K02000001,United Kingdom,50-64,50-64,female,Female,bisexual,Bisexual,percentage,Percentage
0.5,c,0.1,2019,2019,K02000001,United Kingdom,65+,65+,female,Female,bisexual,Bisexual,percentage,Percentage
3.2,c,0.7,2019,2019,K02000001,United Kingdom,25-34,25-34,male,Male,gay-or-lesbian,Gay or lesbian,percentage,Percentage
0.5,d,0.2,2019,2019,K02000001,United Kingdom,25-34,25-34,male,Male,other,Other,percentage,Percentage
0.6,c,0.1,2019,2019,K02000001,United Kingdom,50-64,50-64,male,Male,other,Other,percentage,Percentage
0.6,c,0.1,2019,2019,K02000001,United Kingdom,65+,65+,male,Male,gay-or-lesbian,Gay or lesbian,percentage,Percentage
4.3,c,1,2019,2019,K02000001,United Kingdom,16-24,16-24,male,Male,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
0.9,b,0.2,2019,2019,K02000001,United Kingdom,50-64,50-64,female,Female,gay-or-lesbian,Gay or lesbian,percentage,Percentage
1.7,b,0.3,2019,2019,K02000001,United Kingdom,25-34,25-34,female,Female,bisexual,Bisexual,percentage,Percentage
2.8,b,0.3,2019,2019,K02000001,United Kingdom,35-49,35-49,female,Female,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
2.9,a,0.3,2019,2019,K02000001,United Kingdom,65+,65+,female,Female,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
29,c,8,2019,2019,K02000001,United Kingdom,35-49,35-49,male,Male,bisexual,Bisexual,number,Number
44,c,11,2019,2019,K02000001,United Kingdom,35-49,35-49,male,Male,other,Other,number,Number
1.7,b,0.3,2019,2019,K02000001,United Kingdom,50-64,50-64,male,Male,gay-or-lesbian,Gay or lesbian,percentage,Percentage
0.3,c,0.1,2019,2019,K02000001,United Kingdom,50-64,50-64,male,Male,bisexual,Bisexual,percentage,Percentage
4158,a,39,2019,2019,K02000001,United Kingdom,25-34,25-34,male,Male,heterosexual-or-straight,Heterosexual or straight,number,Number
5799,a,56,2019,2019,K02000001,United Kingdom,35-49,35-49,male,Male,heterosexual-or-straight,Heterosexual or straight,number,Number
22,c,6,2019,2019,K02000001,United Kingdom,65+,65+,male,Male,bisexual,Bisexual,number,Number
185,b,22,2019,2019,K02000001,United Kingdom,35-49,35-49,male,Male,dont-know-or-refuse,Don't know or refuse,number,Number
76,b,12,2019,2019,K02000001,United Kingdom,35-49,35-49,female,Female,gay-or-lesbian,Gay or lesbian,number,Number
61,b,12,2019,2019,K02000001,United Kingdom,50-64,50-64,female,Female,gay-or-lesbian,Gay or lesbian,number,Number
47,c,12,2019,2019,K02000001,United Kingdom,35-49,35-49,female,Female,other,Other,number,Number
93.4,a,0.5,2019,2019,K02000001,United Kingdom,35-49,35-49,male,Male,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
96.1,a,0.3,2019,2019,K02000001,United Kingdom,65+,65+,male,Male,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
94.4,a,0.4,2019,2019,K02000001,United Kingdom,35-49,35-49,female,Female,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
95.6,a,0.3,2019,2019,K02000001,United Kingdom,65+,65+,female,Female,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
1.4,c,0.3,2019,2019,K02000001,United Kingdom,25-34,25-34,female,Female,gay-or-lesbian,Gay or lesbian,percentage,Percentage
0.5,c,0.1,2019,2019,K02000001,United Kingdom,35-49,35-49,male,Male,bisexual,Bisexual,percentage,Percentage
0.5,c,0.1,2019,2019,K02000001,United Kingdom,65+,65+,female,Female,gay-or-lesbian,Gay or lesbian,percentage,Percentage
0.6,c,0.1,2019,2019,K02000001,United Kingdom,50-64,50-64,female,Female,other,Other,percentage,Percentage
0.6,c,0.1,2019,2019,K02000001,United Kingdom,65+,65+,female,Female,other,Other,percentage,Percentage
125,b,13,2019,2019,K02000001,United Kingdom,65+,65+,male,Male,dont-know-or-refuse,Don't know or refuse,number,Number
181,b,19,2019,2019,K02000001,United Kingdom,35-49,35-49,female,Female,dont-know-or-refuse,Don't know or refuse,number,Number
41,c,11,2019,2019,K02000001,United Kingdom,25-34,25-34,male,Male,bisexual,Bisexual,number,Number
35,c,8,2019,2019,K02000001,United Kingdom,65+,65+,male,Male,other,Other,number,Number
32,c,7,2019,2019,K02000001,United Kingdom,65+,65+,female,Female,bisexual,Bisexual,number,Number
32,c,9,2019,2019,K02000001,United Kingdom,25-34,25-34,female,Female,other,Other,number,Number
5315,a,18,2019,2019,K02000001,United Kingdom,65+,65+,male,Male,heterosexual-or-straight,Heterosexual or straight,number,Number
149,b,21,2019,2019,K02000001,United Kingdom,35-49,35-49,male,Male,gay-or-lesbian,Gay or lesbian,number,Number
55,b,10,2019,2019,K02000001,United Kingdom,35-49,35-49,female,Female,bisexual,Bisexual,number,Number
193,b,19,2019,2019,K02000001,United Kingdom,50-64,50-64,female,Female,dont-know-or-refuse,Don't know or refuse,number,Number
184,a,17,2019,2019,K02000001,United Kingdom,65+,65+,female,Female,dont-know-or-refuse,Don't know or refuse,number,Number
1.2,b,0.2,2019,2019,K02000001,United Kingdom,35-49,35-49,female,Female,gay-or-lesbian,Gay or lesbian,percentage,Percentage
1,d,0.4,2019,2019,K02000001,United Kingdom,16-24,16-24,female,Female,other,Other,percentage,Percentage
3137,a,54,2019,2019,K02000001,United Kingdom,16-24,16-24,male,Male,heterosexual-or-straight,Heterosexual or straight,number,Number
5959,a,53,2019,2019,K02000001,United Kingdom,50-64,50-64,male,Male,heterosexual-or-straight,Heterosexual or straight,number,Number
106,b,16,2019,2019,K02000001,United Kingdom,50-64,50-64,male,Male,gay-or-lesbian,Gay or lesbian,number,Number
93,c,27,2019,2019,K02000001,United Kingdom,16-24,16-24,male,Male,bisexual,Bisexual,number,Number
21,d,9,2019,2019,K02000001,United Kingdom,25-34,25-34,male,Male,other,Other,number,Number
36,c,8,2019,2019,K02000001,United Kingdom,50-64,50-64,female,Female,other,Other,number,Number
88.9,a,1.5,2019,2019,K02000001,United Kingdom,16-24,16-24,male,Male,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
92.4,a,0.9,2019,2019,K02000001,United Kingdom,25-34,25-34,male,Male,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
3.1,b,0.5,2019,2019,K02000001,United Kingdom,25-34,25-34,male,Male,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
88.2,a,1.4,2019,2019,K02000001,United Kingdom,16-24,16-24,female,Female,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
93.4,a,0.6,2019,2019,K02000001,United Kingdom,25-34,25-34,female,Female,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
0.7,c,0.2,2019,2019,K02000001,United Kingdom,25-34,25-34,female,Female,other,Other,percentage,Percentage
0.7,c,0.2,2019,2019,K02000001,United Kingdom,35-49,35-49,female,Female,other,Other,percentage,Percentage
3.3,c,0.8,2019,2019,K02000001,United Kingdom,16-24,16-24,female,Female,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
115,c,30,2019,2019,K02000001,United Kingdom,16-24,16-24,male,Male,gay-or-lesbian,Gay or lesbian,number,Number
142,c,31,2019,2019,K02000001,United Kingdom,25-34,25-34,male,Male,gay-or-lesbian,Gay or lesbian,number,Number
33,d,15,2019,2019,K02000001,United Kingdom,16-24,16-24,male,Male,other,Other,number,Number
2979,a,48,2019,2019,K02000001,United Kingdom,16-24,16-24,female,Female,heterosexual-or-straight,Heterosexual or straight,number,Number
63,c,22,2019,2019,K02000001,United Kingdom,16-24,16-24,female,Female,gay-or-lesbian,Gay or lesbian,number,Number
113,c,26,2019,2019,K02000001,United Kingdom,16-24,16-24,female,Female,dont-know-or-refuse,Don't know or refuse,number,Number
35,c,7,2019,2019,K02000001,United Kingdom,65+,65+,male,Male,gay-or-lesbian,Gay or lesbian,number,Number
151,c,37,2019,2019,K02000001,United Kingdom,16-24,16-24,male,Male,dont-know-or-refuse,Don't know or refuse,number,Number
6193,a,48,2019,2019,K02000001,United Kingdom,50-64,50-64,female,Female,heterosexual-or-straight,Heterosexual or straight,number,Number
62,c,13,2019,2019,K02000001,United Kingdom,25-34,25-34,female,Female,gay-or-lesbian,Gay or lesbian,number,Number
34,c,7,2019,2019,K02000001,United Kingdom,50-64,50-64,female,Female,bisexual,Bisexual,number,Number
35,d,15,2019,2019,K02000001,United Kingdom,16-24,16-24,female,Female,other,Other,number,Number
123,b,18,2019,2019,K02000001,United Kingdom,25-34,25-34,female,Female,dont-know-or-refuse,Don't know or refuse,number,Number
6151,a,22,2019,2019,K02000001,United Kingdom,65+,65+,female,Female,heterosexual-or-straight,Heterosexual or straight,number,Number
22,c,6,2019,2019,K02000001,United Kingdom,50-64,50-64,male,Male,bisexual,Bisexual,number,Number
37,c,9,2019,2019,K02000001,United Kingdom,50-64,50-64,male,Male,other,Other,number,Number
199,b,21,2019,2019,K02000001,United Kingdom,50-64,50-64,male,Male,dont-know-or-refuse,Don't know or refuse,number,Number
39,c,8,2019,2019,K02000001,United Kingdom,65+,65+,female,Female,other,Other,number,Number
4168,a,26,2019,2019,K02000001,United Kingdom,25-34,25-34,female,Female,heterosexual-or-straight,Heterosexual or straight,number,Number
6055,a,50,2019,2019,K02000001,United Kingdom,35-49,35-49,female,Female,heterosexual-or-straight,Heterosexual or straight,number,Number
187,b,32,2019,2019,K02000001,United Kingdom,16-24,16-24,female,Female,bisexual,Bisexual,number,Number
3,b,0.3,2019,2019,K02000001,United Kingdom,50-64,50-64,female,Female,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
2.4,b,0.3,2019,2019,K02000001,United Kingdom,35-49,35-49,male,Male,gay-or-lesbian,Gay or lesbian,percentage,Percentage
0.4,c,0.1,2019,2019,K02000001,United Kingdom,65+,65+,male,Male,bisexual,Bisexual,percentage,Percentage
2.3,b,0.2,2019,2019,K02000001,United Kingdom,65+,65+,male,Male,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
0.9,b,0.2,2019,2019,K02000001,United Kingdom,35-49,35-49,female,Female,bisexual,Bisexual,percentage,Percentage
2.8,b,0.4,2019,2019,K02000001,United Kingdom,25-34,25-34,female,Female,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
5903,a,56,2018,2018,K02000001,United Kingdom,35-49,35-49,male,Male,heterosexual-or-straight,Heterosexual or straight,number,Number
134,b,25,2018,2018,K02000001,United Kingdom,25-34,25-34,male,Male,gay-or-lesbian,Gay or lesbian,number,Number
14,c,4,2018,2018,K02000001,United Kingdom,65+,65+,male,Male,bisexual,Bisexual,number,Number
132,b,16,2018,2018,K02000001,United Kingdom,50-64,50-64,male,Male,dont-know-or-refuse,Don't know or refuse,number,Number
116,b,13,2018,2018,K02000001,United Kingdom,65+,65+,male,Male,dont-know-or-refuse,Don't know or refuse,number,Number
144,b,16,2018,2018,K02000001,United Kingdom,35-49,35-49,female,Female,dont-know-or-refuse,Don't know or refuse,number,Number
0.5,c,0.1,2018,2018,K02000001,United Kingdom,65+,65+,male,Male,gay-or-lesbian,Gay or lesbian,percentage,Percentage
95.2,a,0.4,2018,2018,K02000001,United Kingdom,35-49,35-49,female,Female,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
93,a,0.8,2018,2018,K02000001,United Kingdom,25-34,25-34,male,Male,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
2.1,b,0.3,2018,2018,K02000001,United Kingdom,35-49,35-49,male,Male,gay-or-lesbian,Gay or lesbian,percentage,Percentage
1.7,b,0.3,2018,2018,K02000001,United Kingdom,50-64,50-64,male,Male,gay-or-lesbian,Gay or lesbian,percentage,Percentage
90.58895670718317,a,1.2,2018,2018,K02000001,United Kingdom,16-24,16-24,female,Female,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
0.6,c,0.1,2018,2018,K02000001,United Kingdom,35-49,35-49,female,Female,other,Other,percentage,Percentage
2.5,b,0.3,2018,2018,K02000001,United Kingdom,35-49,35-49,male,Male,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
3.2912260776271074,c,0.8,2018,2018,K02000001,United Kingdom,16-24,16-24,female,Female,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
95.3,a,0.4,2018,2018,K02000001,United Kingdom,50-64,50-64,male,Male,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
3,b,0.6,2018,2018,K02000001,United Kingdom,25-34,25-34,male,Male,gay-or-lesbian,Gay or lesbian,percentage,Percentage
1.8,c,0.6,2018,2018,K02000001,United Kingdom,16-24,16-24,male,Male,bisexual,Bisexual,percentage,Percentage
0.5,c,0.1,2018,2018,K02000001,United Kingdom,50-64,50-64,male,Male,other,Other,percentage,Percentage
0.5,c,0.1,2018,2018,K02000001,United Kingdom,50-64,50-64,female,Female,other,Other,percentage,Percentage
2.1,b,0.3,2018,2018,K02000001,United Kingdom,50-64,50-64,male,Male,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
1.286406439752041,c,0.5,2018,2018,K02000001,United Kingdom,16-24,16-24,female,Female,other,Other,percentage,Percentage
94.4,a,0.5,2018,2018,K02000001,United Kingdom,35-49,35-49,male,Male,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
0.6,d,0.2,2018,2018,K02000001,United Kingdom,25-34,25-34,male,Male,other,Other,percentage,Percentage
2.8,b,0.5,2018,2018,K02000001,United Kingdom,25-34,25-34,male,Male,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
96,a,0.3,2018,2018,K02000001,United Kingdom,50-64,50-64,female,Female,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
2.2,c,0.7,2018,2018,K02000001,United Kingdom,16-24,16-24,male,Male,gay-or-lesbian,Gay or lesbian,percentage,Percentage
1.1,c,0.2,2018,2018,K02000001,United Kingdom,25-34,25-34,female,Female,gay-or-lesbian,Gay or lesbian,percentage,Percentage
0.3,c,0.1,2018,2018,K02000001,United Kingdom,65+,65+,female,Female,gay-or-lesbian,Gay or lesbian,percentage,Percentage
0.5,c,0.1,2018,2018,K02000001,United Kingdom,50-64,50-64,female,Female,bisexual,Bisexual,percentage,Percentage
2.2,b,0.3,2018,2018,K02000001,United Kingdom,35-49,35-49,female,Female,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
2.6,a,0.2,2018,2018,K02000001,United Kingdom,65+,65+,female,Female,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
6144,a,49,2018,2018,K02000001,United Kingdom,35-49,35-49,female,Female,heterosexual-or-straight,Heterosexual or straight,number,Number
0.3,c,0.1,2018,2018,K02000001,United Kingdom,65+,65+,male,Male,bisexual,Bisexual,percentage,Percentage
0.6,d,0.3,2018,2018,K02000001,United Kingdom,16-24,16-24,male,Male,other,Other,percentage,Percentage
94.3,a,0.5,2018,2018,K02000001,United Kingdom,25-34,25-34,female,Female,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
96.3,a,0.3,2018,2018,K02000001,United Kingdom,65+,65+,female,Female,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
1.008784537155981,c,0.4,2018,2018,K02000001,United Kingdom,16-24,16-24,female,Female,gay-or-lesbian,Gay or lesbian,percentage,Percentage
0.8,b,0.1,2018,2018,K02000001,United Kingdom,35-49,35-49,female,Female,bisexual,Bisexual,percentage,Percentage
2.2,b,0.2,2018,2018,K02000001,United Kingdom,50-64,50-64,female,Female,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
91.1,a,1.4,2018,2018,K02000001,United Kingdom,16-24,16-24,male,Male,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
0.4,c,0.1,2018,2018,K02000001,United Kingdom,50-64,50-64,male,Male,bisexual,Bisexual,percentage,Percentage
0.6,c,0.1,2018,2018,K02000001,United Kingdom,35-49,35-49,male,Male,other,Other,percentage,Percentage
4200,a,24,2018,2018,K02000001,United Kingdom,25-34,25-34,female,Female,heterosexual-or-straight,Heterosexual or straight,number,Number
56,b,10,2018,2018,K02000001,United Kingdom,50-64,50-64,female,Female,gay-or-lesbian,Gay or lesbian,number,Number
96.5,a,0.3,2018,2018,K02000001,United Kingdom,65+,65+,male,Male,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
0.4,c,0.1,2018,2018,K02000001,United Kingdom,35-49,35-49,male,Male,bisexual,Bisexual,percentage,Percentage
2.1,b,0.2,2018,2018,K02000001,United Kingdom,65+,65+,male,Male,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
0.9,b,0.2,2018,2018,K02000001,United Kingdom,50-64,50-64,female,Female,gay-or-lesbian,Gay or lesbian,percentage,Percentage
0.6,c,0.2,2018,2018,K02000001,United Kingdom,25-34,25-34,female,Female,other,Other,percentage,Percentage
0.5,c,0.1,2018,2018,K02000001,United Kingdom,65+,65+,female,Female,other,Other,percentage,Percentage
0.5,c,0.1,2018,2018,K02000001,United Kingdom,65+,65+,male,Male,other,Other,percentage,Percentage
