v4_3,Data Marking,CV,CI+/-,calendar-years,Time,administrative-geography,Geography,sexual-orientation,SexualOrientation,unit-of-measure,UnitOfMeasure
0.6,,c,0.2,2018,2018,S92000003,Scotland,other,Other,percentage,Percentage
1.3,,c,0.3,2018,2018,S92000003,Scotland,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
34,,c,11,2017,2017,S92000003,Scotland,bisexual,Bisexual,number,Number
95.6,,a,0.5,2019,2019,S92000003,Scotland,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
0.8,,c,0.2,2017,2017,S92000003,Scotland,bisexual,Bisexual,percentage,Percentage
96.9,,a,0.4,2014,2014,S92000003,Scotland,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
1,,c,0.3,2018,2018,S92000003,Scotland,bisexual,Bisexual,percentage,Percentage
26,,c,8,2018,2018,S92000003,Scotland,other,Other,number,Number
56,,c,14,2018,2018,S92000003,Scotland,dont-know-or-refuse,Don't know or refuse,number,Number
4271,,a,23,2019,2019,S92000003,Scotland,heterosexual-or-straight,Heterosexual or straight,number,Number
28,,c,11,2020,2020,S92000003,Scotland,other,Other,number,Number
,x,x,x,2012,2012,S92000003,Scotland,other,Other,percentage,Percentage
0.9,,c,0.2,2020,2020,S92000003,Scotland,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
0.5,,c,0.2,2019,2019,S92000003,Scotland,other,Other,percentage,Percentage
,x,x,x,2013,2013,S92000003,Scotland,other,Other,percentage,Percentage
54,,c,14,2019,2019,S92000003,Scotland,bisexual,Bisexual,number,Number
56,,b,10,2019,2019,S92000003,Scotland,dont-know-or-refuse,Don't know or refuse,number,Number
43,,c,13,2020,2020,S92000003,Scotland,bisexual,Bisexual,number,Number
,x,x,x,2012,2012,S92000003,Scotland,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
91,,c,27,2020,2020,S92000003,Scotland,gay-or-lesbian,Gay or lesbian,number,Number
1.6,,b,0.3,2016,2016,S92000003,Scotland,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
26,,c,9,2015,2015,S92000003,Scotland,bisexual,Bisexual,number,Number
4232,,a,16,2014,2014,S92000003,Scotland,heterosexual-or-straight,Heterosexual or straight,number,Number
36,,c,9,2014,2014,S92000003,Scotland,gay-or-lesbian,Gay or lesbian,number,Number
14,,d,6,2016,2016,S92000003,Scotland,other,Other,number,Number
4287,,a,19,2017,2017,S92000003,Scotland,heterosexual-or-straight,Heterosexual or straight,number,Number
4229,,a,20,2015,2015,S92000003,Scotland,heterosexual-or-straight,Heterosexual or straight,number,Number
46,,c,12,2015,2015,S92000003,Scotland,gay-or-lesbian,Gay or lesbian,number,Number
1.3,,b,0.2,2019,2019,S92000003,Scotland,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
0.4,,c,0.1,2017,2017,S92000003,Scotland,other,Other,percentage,Percentage
96.1,,a,0.5,2018,2018,S92000003,Scotland,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
0.8,,c,0.2,2014,2014,S92000003,Scotland,gay-or-lesbian,Gay or lesbian,percentage,Percentage
0.3,,c,0.1,2014,2014,S92000003,Scotland,bisexual,Bisexual,percentage,Percentage
95.4,,a,0.7,2020,2020,S92000003,Scotland,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
4273,,a,32,2020,2020,S92000003,Scotland,heterosexual-or-straight,Heterosexual or straight,number,Number
,x,x,x,2012,2012,S92000003,Scotland,bisexual,Bisexual,percentage,Percentage
1.7,,b,0.3,2014,2014,S92000003,Scotland,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
0.6,,c,0.2,2020,2020,S92000003,Scotland,other,Other,percentage,Percentage
,x,x,x,2012,2012,S92000003,Scotland,heterosexual-or-straight,Heterosexual or straight,number,Number
42,,c,10,2020,2020,S92000003,Scotland,dont-know-or-refuse,Don't know or refuse,number,Number
,x,x,x,2012,2012,S92000003,Scotland,gay-or-lesbian,Gay or lesbian,number,Number
,x,x,x,2012,2012,S92000003,Scotland,gay-or-lesbian,Gay or lesbian,percentage,Percentage
2,,c,0.6,2020,2020,S92000003,Scotland,gay-or-lesbian,Gay or lesbian,percentage,Percentage
1.1,,c,0.3,2017,2017,S92000003,Scotland,gay-or-lesbian,Gay or lesbian,percentage,Percentage
1.1,,b,0.2,2017,2017,S92000003,Scotland,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
,x,x,x,2013,2013,S92000003,Scotland,gay-or-lesbian,Gay or lesbian,percentage,Percentage
1,,c,0.2,2018,2018,S92000003,Scotland,gay-or-lesbian,Gay or lesbian,percentage,Percentage
47,,b,8,2017,2017,S92000003,Scotland,dont-know-or-refuse,Don't know or refuse,number,Number
43,,d,19,2016,2016,S92000003,Scotland,bisexual,Bisexual,number,Number
0.3,,d,0.1,2016,2016,S92000003,Scotland,other,Other,percentage,Percentage
22,,c,7,2019,2019,S92000003,Scotland,other,Other,number,Number
1.4,,c,0.3,2019,2019,S92000003,Scotland,gay-or-lesbian,Gay or lesbian,percentage,Percentage
,x,x,x,2012,2012,S92000003,Scotland,other,Other,number,Number
,x,x,x,2012,2012,S92000003,Scotland,dont-know-or-refuse,Don't know or refuse,number,Number
,x,x,x,2013,2013,E12000008,South East,gay-or-lesbian,Gay or lesbian,number,Number
,x,x,x,2012,2012,E12000008,South East,other,Other,number,Number
,x,x,x,2013,2013,E12000008,South East,bisexual,Bisexual,number,Number
67,,c,13,2014,2014,E12000008,South East,gay-or-lesbian,Gay or lesbian,number,Number
174,,b,25,2016,2016,E12000008,South East,dont-know-or-refuse,Don't know or refuse,number,Number
0.8,,c,0.2,2015,2015,E12000008,South East,bisexual,Bisexual,percentage,Percentage
94.9,,a,0.6,2018,2018,E12000008,South East,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
35,,c,10,2018,2018,E12000008,South East,other,Other,number,Number
0.4,,c,0.1,2015,2015,E12000008,South East,other,Other,percentage,Percentage
1.3,,c,0.3,2019,2019,E12000008,South East,bisexual,Bisexual,percentage,Percentage
2.8,,b,0.4,2019,2019,E12000008,South East,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
26,,c,8,2015,2015,E12000008,South East,other,Other,number,Number
154,,b,30,2020,2020,E12000008,South East,dont-know-or-refuse,Don't know or refuse,number,Number
59,,c,14,2014,2014,E12000008,South East,bisexual,Bisexual,number,Number
,x,x,x,2013,2013,E12000008,South East,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
2.3,,b,0.3,2017,2017,E12000008,South East,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
0.9,,c,0.2,2014,2014,E12000008,South East,gay-or-lesbian,Gay or lesbian,percentage,Percentage
6867,,a,55,2020,2020,E12000008,South East,heterosexual-or-straight,Heterosexual or straight,number,Number
1.6,,c,0.5,2020,2020,E12000008,South East,bisexual,Bisexual,percentage,Percentage
2.4,,b,0.3,2016,2016,E12000008,South East,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
0.9,,c,0.3,2018,2018,E12000008,South East,bisexual,Bisexual,percentage,Percentage
54,,c,14,2015,2015,E12000008,South East,bisexual,Bisexual,number,Number
168,,b,22,2015,2015,E12000008,South East,dont-know-or-refuse,Don't know or refuse,number,Number
6811,,a,37,2016,2016,E12000008,South East,heterosexual-or-straight,Heterosexual or straight,number,Number
89,,c,19,2016,2016,E12000008,South East,gay-or-lesbian,Gay or lesbian,number,Number
6844,,a,37,2017,2017,E12000008,South East,heterosexual-or-straight,Heterosexual or straight,number,Number
114,,c,25,2019,2019,E12000008,South East,gay-or-lesbian,Gay or lesbian,number,Number
113,,c,26,2020,2020,E12000008,South East,gay-or-lesbian,Gay or lesbian,number,Number
,x,x,x,2012,2012,E12000008,South East,other,Other,percentage,Percentage
,x,x,x,2013,2013,E12000008,South East,other,Other,number,Number
,x,x,x,2012,2012,E12000008,South East,dont-know-or-refuse,Don't know or refuse,number,Number
,x,x,x,2013,2013,E12000008,South East,dont-know-or-refuse,Don't know or refuse,number,Number
39,,c,12,2016,2016,E12000008,South East,other,Other,number,Number
38,,c,12,2017,2017,E12000008,South East,other,Other,number,Number
6890,,a,41,2018,2018,E12000008,South East,heterosexual-or-straight,Heterosexual or straight,number,Number
65,,c,19,2018,2018,E12000008,South East,bisexual,Bisexual,number,Number
0.5,,c,0.1,2018,2018,E12000008,South East,other,Other,percentage,Percentage
97,,c,21,2019,2019,E12000008,South East,bisexual,Bisexual,number,Number
102,,b,19,2019,2019,E12000008,South East,other,Other,number,Number
1.1,,c,0.2,2015,2015,E12000008,South East,gay-or-lesbian,Gay or lesbian,percentage,Percentage
0.9,,c,0.2,2016,2016,E12000008,South East,bisexual,Bisexual,percentage,Percentage
0.8,,c,0.2,2017,2017,E12000008,South East,bisexual,Bisexual,percentage,Percentage
0.3,,c,0.1,2014,2014,E12000008,South East,other,Other,percentage,Percentage
1.5,,c,0.4,2020,2020,E12000008,South East,gay-or-lesbian,Gay or lesbian,percentage,Percentage
165,,b,24,2017,2017,E12000008,South East,dont-know-or-refuse,Don't know or refuse,number,Number
6787,,a,46,2019,2019,E12000008,South East,heterosexual-or-straight,Heterosexual or straight,number,Number
2.1,,b,0.4,2020,2020,E12000008,South East,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
62,,c,17,2016,2016,E12000008,South East,bisexual,Bisexual,number,Number
98,,c,20,2018,2018,E12000008,South East,gay-or-lesbian,Gay or lesbian,number,Number
,x,x,x,2013,2013,E12000008,South East,bisexual,Bisexual,percentage,Percentage
1.2,,c,0.3,2016,2016,E12000008,South East,gay-or-lesbian,Gay or lesbian,percentage,Percentage
0.5,,c,0.2,2017,2017,E12000008,South East,other,Other,percentage,Percentage
,x,x,x,2012,2012,E12000008,South East,gay-or-lesbian,Gay or lesbian,percentage,Percentage
6720,,a,30,2014,2014,E12000008,South East,heterosexual-or-straight,Heterosexual or straight,number,Number
20,,c,7,2014,2014,E12000008,South East,other,Other,number,Number
6787,,a,32,2015,2015,E12000008,South East,heterosexual-or-straight,Heterosexual or straight,number,Number
80,,c,16,2015,2015,E12000008,South East,gay-or-lesbian,Gay or lesbian,number,Number
189,,b,23,2014,2014,E12000008,South East,dont-know-or-refuse,Don't know or refuse,number,Number
,x,x,x,2012,2012,E12000008,South East,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
,x,x,x,2013,2013,E12000008,South East,gay-or-lesbian,Gay or lesbian,percentage,Percentage
1.1,,c,0.3,2020,2020,E12000008,South East,other,Other,percentage,Percentage
56,,c,16,2017,2017,E12000008,South East,bisexual,Bisexual,number,Number
203,,b,28,2019,2019,E12000008,South East,dont-know-or-refuse,Don't know or refuse,number,Number
117,,c,35,2020,2020,E12000008,South East,bisexual,Bisexual,number,Number
84,,c,22,2020,2020,E12000008,South East,other,Other,number,Number
,x,x,x,2012,2012,E12000008,South East,bisexual,Bisexual,percentage,Percentage
,x,x,x,2013,2013,E12000008,South East,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
2.7,,b,0.3,2014,2014,E12000008,South East,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
,x,x,x,2012,2012,E12000008,South East,heterosexual-or-straight,Heterosexual or straight,number,Number
,x,x,x,2012,2012,E12000008,South East,gay-or-lesbian,Gay or lesbian,number,Number
,x,x,x,2012,2012,E12000008,South East,bisexual,Bisexual,number,Number
,x,x,x,2013,2013,E12000008,South East,heterosexual-or-straight,Heterosexual or straight,number,Number
1.5,,c,0.3,2017,2017,E12000008,South East,gay-or-lesbian,Gay or lesbian,percentage,Percentage
109,,c,22,2017,2017,E12000008,South East,gay-or-lesbian,Gay or lesbian,number,Number
,x,x,x,2012,2012,E12000008,South East,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
95.3,,a,0.4,2014,2014,E12000008,South East,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
95.4,,a,0.4,2015,2015,E12000008,South East,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
94.9,,a,0.5,2017,2017,E12000008,South East,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
171,,b,29,2018,2018,E12000008,South East,dont-know-or-refuse,Don't know or refuse,number,Number
2.4,,b,0.4,2018,2018,E12000008,South East,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
94.9,,a,0.5,2016,2016,E12000008,South East,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
1.3,,c,0.3,2018,2018,E12000008,South East,gay-or-lesbian,Gay or lesbian,percentage,Percentage
92.9,,a,0.6,2019,2019,E12000008,South East,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
1.6,,c,0.3,2019,2019,E12000008,South East,gay-or-lesbian,Gay or lesbian,percentage,Percentage
0.5,,c,0.2,2016,2016,E12000008,South East,other,Other,percentage,Percentage
1.4,,b,0.3,2019,2019,E12000008,South East,other,Other,percentage,Percentage
93.6,,a,0.7,2020,2020,E12000008,South East,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
,x,x,x,2013,2013,E12000008,South East,other,Other,percentage,Percentage
0.8,,c,0.2,2014,2014,E12000008,South East,bisexual,Bisexual,percentage,Percentage
2.4,,b,0.3,2015,2015,E12000008,South East,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
,x,x,x,2012,2012,W92000004,Wales,other,Other,number,Number
,x,x,x,2013,2013,W92000004,Wales,bisexual,Bisexual,number,Number
,x,x,x,2013,2013,W92000004,Wales,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
,x,x,x,2012,2012,W92000004,Wales,dont-know-or-refuse,Don't know or refuse,number,Number
,x,x,x,2013,2013,W92000004,Wales,heterosexual-or-straight,Heterosexual or straight,number,Number
,x,x,x,2013,2013,W92000004,Wales,other,Other,number,Number
28,,c,8,2014,2014,W92000004,Wales,gay-or-lesbian,Gay or lesbian,number,Number
43,,b,8,2017,2017,W92000004,Wales,dont-know-or-refuse,Don't know or refuse,number,Number
37,,c,7,2020,2020,W92000004,Wales,dont-know-or-refuse,Don't know or refuse,number,Number
0.7,,c,0.2,2016,2016,W92000004,Wales,bisexual,Bisexual,percentage,Percentage
95.9,,a,0.5,2015,2015,W92000004,Wales,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
1.3,,c,0.3,2017,2017,W92000004,Wales,gay-or-lesbian,Gay or lesbian,percentage,Percentage
95.8,,a,0.5,2017,2017,W92000004,Wales,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
1,,c,0.2,2015,2015,W92000004,Wales,gay-or-lesbian,Gay or lesbian,percentage,Percentage
96,,a,0.4,2016,2016,W92000004,Wales,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
0.5,,c,0.1,2017,2017,W92000004,Wales,other,Other,percentage,Percentage
1.7,,b,0.3,2017,2017,W92000004,Wales,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
1.4,,c,0.3,2020,2020,W92000004,Wales,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
49,,b,7,2015,2015,W92000004,Wales,dont-know-or-refuse,Don't know or refuse,number,Number
48,,c,11,2019,2019,W92000004,Wales,gay-or-lesbian,Gay or lesbian,number,Number
35,,c,11,2020,2020,W92000004,Wales,bisexual,Bisexual,number,Number
2396,,a,12,2014,2014,W92000004,Wales,heterosexual-or-straight,Heterosexual or straight,number,Number
12,,d,7,2014,2014,W92000004,Wales,other,Other,number,Number
,x,x,x,2012,2012,W92000004,Wales,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
2407,,a,11,2015,2015,W92000004,Wales,heterosexual-or-straight,Heterosexual or straight,number,Number
1.9,,b,0.2,2016,2016,W92000004,Wales,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
54,,b,6,2014,2014,W92000004,Wales,dont-know-or-refuse,Don't know or refuse,number,Number
14,,c,4,2015,2015,W92000004,Wales,bisexual,Bisexual,number,Number
13,,d,6,2015,2015,W92000004,Wales,other,Other,number,Number
0.8,,c,0.2,2018,2018,W92000004,Wales,other,Other,percentage,Percentage
43,,b,6,2019,2019,W92000004,Wales,dont-know-or-refuse,Don't know or refuse,number,Number
1,,c,0.2,2016,2016,W92000004,Wales,gay-or-lesbian,Gay or lesbian,percentage,Percentage
0.4,,c,0.1,2016,2016,W92000004,Wales,other,Other,percentage,Percentage
1.7,,b,0.3,2018,2018,W92000004,Wales,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
,x,x,x,2013,2013,W92000004,Wales,bisexual,Bisexual,percentage,Percentage
47,,b,6,2016,2016,W92000004,Wales,dont-know-or-refuse,Don't know or refuse,number,Number
1.1,,c,0.3,2014,2014,W92000004,Wales,gay-or-lesbian,Gay or lesbian,percentage,Percentage
2.2,,b,0.2,2014,2014,W92000004,Wales,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
25,,b,4,2019,2019,W92000004,Wales,other,Other,number,Number
94.4,,a,0.6,2019,2019,W92000004,Wales,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
1.9,,c,0.4,2019,2019,W92000004,Wales,gay-or-lesbian,Gay or lesbian,percentage,Percentage
0.8,,c,0.2,2018,2018,W92000004,Wales,bisexual,Bisexual,percentage,Percentage
,x,x,x,2013,2013,W92000004,Wales,dont-know-or-refuse,Don't know or refuse,number,Number
26,,c,6,2015,2015,W92000004,Wales,gay-or-lesbian,Gay or lesbian,number,Number
2421,,a,11,2016,2016,W92000004,Wales,heterosexual-or-straight,Heterosexual or straight,number,Number
2425,,a,13,2017,2017,W92000004,Wales,heterosexual-or-straight,Heterosexual or straight,number,Number
17,,c,5,2017,2017,W92000004,Wales,bisexual,Bisexual,number,Number
13,,c,3,2017,2017,W92000004,Wales,other,Other,number,Number
1.4,,c,0.4,2020,2020,W92000004,Wales,bisexual,Bisexual,percentage,Percentage
,x,x,x,2013,2013,W92000004,Wales,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
42,,b,7,2018,2018,W92000004,Wales,dont-know-or-refuse,Don't know or refuse,number,Number
2408,,a,15,2019,2019,W92000004,Wales,heterosexual-or-straight,Heterosexual or straight,number,Number
39,,c,9,2020,2020,W92000004,Wales,gay-or-lesbian,Gay or lesbian,number,Number
,x,x,x,2012,2012,W92000004,Wales,gay-or-lesbian,Gay or lesbian,percentage,Percentage
,x,x,x,2012,2012,W92000004,Wales,other,Other,percentage,Percentage
1.3,,c,0.4,2020,2020,W92000004,Wales,other,Other,percentage,Percentage
26,,c,6,2016,2016,W92000004,Wales,gay-or-lesbian,Gay or lesbian,number,Number
20,,c,6,2018,2018,W92000004,Wales,other,Other,number,Number
33,,c,11,2020,2020,W92000004,Wales,other,Other,number,Number
95.2,,a,0.6,2018,2018,W92000004,Wales,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
95.7,,a,0.5,2014,2014,W92000004,Wales,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
13,,c,4,2014,2014,W92000004,Wales,bisexual,Bisexual,number,Number
0.5,,d,0.2,2015,2015,W92000004,Wales,other,Other,percentage,Percentage
,x,x,x,2012,2012,W92000004,Wales,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
,x,x,x,2013,2013,W92000004,Wales,other,Other,percentage,Percentage
2,,b,0.3,2015,2015,W92000004,Wales,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
18,,c,5,2016,2016,W92000004,Wales,bisexual,Bisexual,number,Number
2419,,a,14,2018,2018,W92000004,Wales,heterosexual-or-straight,Heterosexual or straight,number,Number
39,,c,9,2018,2018,W92000004,Wales,gay-or-lesbian,Gay or lesbian,number,Number
26,,c,7,2019,2019,W92000004,Wales,bisexual,Bisexual,number,Number
2411,,a,19,2020,2020,W92000004,Wales,heterosexual-or-straight,Heterosexual or straight,number,Number
1,,c,0.3,2019,2019,W92000004,Wales,bisexual,Bisexual,percentage,Percentage
0.5,,c,0.2,2014,2014,W92000004,Wales,bisexual,Bisexual,percentage,Percentage
0.6,,c,0.2,2015,2015,W92000004,Wales,bisexual,Bisexual,percentage,Percentage
0.7,,c,0.2,2017,2017,W92000004,Wales,bisexual,Bisexual,percentage,Percentage
,x,x,x,2012,2012,W92000004,Wales,bisexual,Bisexual,number,Number
,x,x,x,2012,2012,W92000004,Wales,bisexual,Bisexual,percentage,Percentage
,x,x,x,2013,2013,W92000004,Wales,gay-or-lesbian,Gay or lesbian,number,Number
94.3,,a,0.7,2020,2020,W92000004,Wales,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
0.5,,d,0.3,2014,2014,W92000004,Wales,other,Other,percentage,Percentage
21,,c,6,2018,2018,W92000004,Wales,bisexual,Bisexual,number,Number
10,,c,3,2016,2016,W92000004,Wales,other,Other,number,Number
34,,c,9,2017,2017,W92000004,Wales,gay-or-lesbian,Gay or lesbian,number,Number
1.5,,c,0.4,2018,2018,W92000004,Wales,gay-or-lesbian,Gay or lesbian,percentage,Percentage
1,,b,0.2,2019,2019,W92000004,Wales,other,Other,percentage,Percentage
1.7,,b,0.2,2019,2019,W92000004,Wales,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
1.5,,c,0.4,2020,2020,W92000004,Wales,gay-or-lesbian,Gay or lesbian,percentage,Percentage
,x,x,x,2012,2012,W92000004,Wales,heterosexual-or-straight,Heterosexual or straight,number,Number
,x,x,x,2012,2012,W92000004,Wales,gay-or-lesbian,Gay or lesbian,number,Number
,x,x,x,2013,2013,W92000004,Wales,gay-or-lesbian,Gay or lesbian,percentage,Percentage
8,,d,6,2012,2012,N92000002,Northern Ireland,gay-or-lesbian,Gay or lesbian,number,Number
1335,,a,16,2013,2013,N92000002,Northern Ireland,heterosexual-or-straight,Heterosexual or straight,number,Number
13,,d,6,2014,2014,N92000002,Northern Ireland,bisexual,Bisexual,number,Number
8,,d,5,2012,2012,N92000002,Northern Ireland,other,Other,number,Number
53,,c,12,2015,2015,N92000002,Northern Ireland,dont-know-or-refuse,Don't know or refuse,number,Number
5,,d,3,2016,2016,N92000002,Northern Ireland,other,Other,number,Number
10,,d,4,2019,2019,N92000002,Northern Ireland,gay-or-lesbian,Gay or lesbian,number,Number
9,,d,4,2019,2019,N92000002,Northern Ireland,bisexual,Bisexual,number,Number
1,,d,0.6,2017,2017,N92000002,Northern Ireland,gay-or-lesbian,Gay or lesbian,percentage,Percentage
97,,a,0.6,2018,2018,N92000002,Northern Ireland,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
94.1,,a,1.1,2015,2015,N92000002,Northern Ireland,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
0.4,,d,0.2,2018,2018,N92000002,Northern Ireland,other,Other,percentage,Percentage
0.7,,d,0.3,2019,2019,N92000002,Northern Ireland,gay-or-lesbian,Gay or lesbian,percentage,Percentage
0.4,,d,0.2,2019,2019,N92000002,Northern Ireland,other,Other,percentage,Percentage
13,,d,8,2014,2014,N92000002,Northern Ireland,gay-or-lesbian,Gay or lesbian,number,Number
13,,d,8,2016,2016,N92000002,Northern Ireland,gay-or-lesbian,Gay or lesbian,number,Number
4,,d,3,2017,2017,N92000002,Northern Ireland,bisexual,Bisexual,number,Number
19,,c,7,2017,2017,N92000002,Northern Ireland,dont-know-or-refuse,Don't know or refuse,number,Number
6,,d,3,2018,2018,N92000002,Northern Ireland,bisexual,Bisexual,number,Number
22,,c,7,2018,2018,N92000002,Northern Ireland,dont-know-or-refuse,Don't know or refuse,number,Number
95.9,,a,0.9,2016,2016,N92000002,Northern Ireland,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
15,,d,6,2015,2015,N92000002,Northern Ireland,bisexual,Bisexual,number,Number
64,,c,14,2014,2014,N92000002,Northern Ireland,dont-know-or-refuse,Don't know or refuse,number,Number
1.3,,c,0.5,2017,2017,N92000002,Northern Ireland,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
1420,,a,13,2020,2020,N92000002,Northern Ireland,heterosexual-or-straight,Heterosexual or straight,number,Number
0.8,,d,0.3,2016,2016,N92000002,Northern Ireland,bisexual,Bisexual,percentage,Percentage
0.8,,d,0.5,2015,2015,N92000002,Northern Ireland,gay-or-lesbian,Gay or lesbian,percentage,Percentage
0.4,,d,0.2,2020,2020,N92000002,Northern Ireland,other,Other,percentage,Percentage
1.1,,d,0.4,2015,2015,N92000002,Northern Ireland,bisexual,Bisexual,percentage,Percentage
1.8,,d,0.7,2020,2020,N92000002,Northern Ireland,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
0.3,,d,0.2,2017,2017,N92000002,Northern Ireland,bisexual,Bisexual,percentage,Percentage
96.4,,a,0.9,2020,2020,N92000002,Northern Ireland,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
1359,,a,16,2015,2015,N92000002,Northern Ireland,heterosexual-or-straight,Heterosexual or straight,number,Number
93.7,,a,1.1,2013,2013,N92000002,Northern Ireland,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
0.8,,d,0.5,2013,2013,N92000002,Northern Ireland,gay-or-lesbian,Gay or lesbian,percentage,Percentage
5,,d,3,2015,2015,N92000002,Northern Ireland,other,Other,number,Number
4,,d,2,2014,2014,N92000002,Northern Ireland,other,Other,number,Number
93.5,,a,1.2,2014,2014,N92000002,Northern Ireland,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
30,,c,9,2016,2016,N92000002,Northern Ireland,dont-know-or-refuse,Don't know or refuse,number,Number
1416,,a,12,2017,2017,N92000002,Northern Ireland,heterosexual-or-straight,Heterosexual or straight,number,Number
0.4,,d,0.3,2013,2013,N92000002,Northern Ireland,other,Other,percentage,Percentage
0.3,,d,0.2,2017,2017,N92000002,Northern Ireland,other,Other,percentage,Percentage
1.5,,c,0.5,2018,2018,N92000002,Northern Ireland,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
58,,c,12,2013,2013,N92000002,Northern Ireland,dont-know-or-refuse,Don't know or refuse,number,Number
14,,d,9,2017,2017,N92000002,Northern Ireland,gay-or-lesbian,Gay or lesbian,number,Number
23,,c,6,2019,2019,N92000002,Northern Ireland,dont-know-or-refuse,Don't know or refuse,number,Number
0.8,,d,0.3,2018,2018,N92000002,Northern Ireland,gay-or-lesbian,Gay or lesbian,percentage,Percentage
0.4,,d,0.2,2018,2018,N92000002,Northern Ireland,bisexual,Bisexual,percentage,Percentage
11,,d,5,2018,2018,N92000002,Northern Ireland,gay-or-lesbian,Gay or lesbian,number,Number
5,,d,3,2019,2019,N92000002,Northern Ireland,other,Other,number,Number
6,,d,3,2020,2020,N92000002,Northern Ireland,bisexual,Bisexual,number,Number
0.5,,d,0.4,2012,2012,N92000002,Northern Ireland,gay-or-lesbian,Gay or lesbian,percentage,Percentage
0.4,,d,0.2,2020,2020,N92000002,Northern Ireland,bisexual,Bisexual,percentage,Percentage
1423,,a,9,2019,2019,N92000002,Northern Ireland,heterosexual-or-straight,Heterosexual or straight,number,Number
0.9,,d,0.4,2014,2014,N92000002,Northern Ireland,bisexual,Bisexual,percentage,Percentage
0.6,,d,0.3,2012,2012,N92000002,Northern Ireland,other,Other,percentage,Percentage
95.3,,a,1,2012,2012,N92000002,Northern Ireland,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
6,,d,4,2013,2013,N92000002,Northern Ireland,other,Other,number,Number
15,,d,6,2020,2020,N92000002,Northern Ireland,gay-or-lesbian,Gay or lesbian,number,Number
6,,d,3,2020,2020,N92000002,Northern Ireland,other,Other,number,Number
1,,d,0.4,2020,2020,N92000002,Northern Ireland,gay-or-lesbian,Gay or lesbian,percentage,Percentage
96.8,,a,0.6,2019,2019,N92000002,Northern Ireland,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
4,,c,0.9,2013,2013,N92000002,Northern Ireland,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
1.6,,c,0.4,2019,2019,N92000002,Northern Ireland,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
